Site,Width,Depth,Flow,AT,WT,pH,TDS,Cond,N,Ni,Nt,Phos,Mg,Ca,Crab,Shrimp,Aeglam,AeglaFe,AeglaFo
RJMHQ21,3.4,1,0.4,19.2,18,7.2,11,20,0.02,0.06,0.001,0.05,3.08,1.05,0,0,0,0,0
RJM275KE23,6,1.5,0.4,18,18,7.34,13,28,0.01,0.11,0.001,0.03,4,4,19,14,10,0,4
AM13KE23,2,0.12,0.2,16,18,7.26,7,15,0,0.15,0.004,0.05,1.25,2.09,2,0,0,0,0
ATac26KE23,4,1,0.38,15.8,18,7.35,15,30,0,0.17,0.003,0.01,3.52,0,23,8,12,1,3
AG1KN24,3,0.7,0.4,20,18,7.1,27,56,0,0.15,0,0.05,3.88,0,0,0,23,0,3
RJMHQ24,3.4,1,0.4,21.2,18,7,9,22,0.02,0.07,0,0.08,3.1,1.04,0,0,0,0,0
RJMHQ17b,3.4,1,0.39,19.7,18,6.99,9,22,0.02,0.08,0.001,0.07,2.9,1,0,0,0,0,0
ANNP13KS18,6,1.5,0.1,24.8,18,7,6,12,0.01,0,0,0.02,1.66,2.9,0,1,0,0,0
ATamby20KS18,2.5,0.3,0.3,24.6,18,6.99,4,9,0.02,0.002,0,0.02,1.5,2.92,0,0,0,0,0
ACap24KS18,2,0.2,0.35,25.5,18,7.04,5,12,0.02,0.03,0.007,0.05,1.5,2.79,0,0,0,0,0
SM362KW19,2.5,1.7,0.4,24.6,18,6.98,15,31,0,0.001,0.001,0.07,3.51,0.82,2,2,51,0,4
SM362KW20,2.5,1.7,0.4,24,18,6.99,14,27,0,0.001,0.001,0.07,3.51,0.82,0,0,51,12,39
ANNP13KS20,6,1.5,0.1,19.6,18,7.14,7,14,0.01,0,0,0.02,1.7,3,0,1,0,0,0
ATamby20KS20,2.5,0.3,0.3,19.7,18,7.04,5,11,0.03,0.003,0,0.01,1.7,2.79,0,0,0,0,0
ACap24KS20,2,0.2,0.35,20.6,18,7.03,5,11,0.02,0.02,0.005,0.06,1.6,2.8,0,0,0,0,0
SM362KW21,2.5,1.7,0.4,21.4,18,6.97,14,29,0,0.001,0.001,0.07,3.51,0.82,0,7,76,1,13
SM362KW22,2.5,1.7,0.4,22.3,18,6.98,16,32,0,0.001,0.001,0.07,3.51,0.82,2,5,84,4,28
ANNP13KS22,6,1.5,0.1,25.3,18,6.96,6,13,0.02,0,0,0.02,1.68,2.8,0,3,0,0,0
ATamby20KS22,2.5,0.3,0.3,25.6,18,7.02,5,9,0.01,0.001,0,0.02,1.4,2.84,0,0,0,0,0
ACap24KS22,2,0.2,0.35,24.4,18,7.15,5,11,0.01,0.03,0.006,0.04,1.5,2.82,0,0,0,0,0
AG1KN28,3,0.3,0.4,20.7,18,7.86,40,81,0,0.16,0,0.04,3.87,0,9,9,18,0,8
AG2KW28,4,1,0.4,22.6,18,6.99,37,78,0,0.15,0.006,0.08,3.61,0.01,2,1,2,0,1
AG1KN29,3,0.3,0.42,20.1,18,7.67,36,77,0.02,0.13,0,0.037,3.86,0,12,9,20,0,12
AG2KW29,4,1,0.4,22.7,18,7.01,38,75,0,0.14,0.004,0.08,3.58,0,0,1,1,0,2
