DayN[]	Datecode[]	Min[]	Veg[]	Plot[]	Group[]	CorrCO2[]	SoilT[]
481	1	0	1	26	17	399.41	289.3
481	1	15	1	26	17	456.49	289.3
481	1	30	1	26	17	500.44	289.3
481	1	0	1	16	18	681.65	291.1
481	1	15	1	16	18	535.96	291.1
481	1	30	1	16	18	821.74	291.1
481	1	0	1	17	19	555.04	292
481	1	15	1	17	19	698.73	292
481	1	30	1	17	19	750.71	292
481	1	0	1	8	20	397.53	292
481	1	15	1	8	20	469.92	292
481	1	30	1	8	20	496.79	292
481	1	0	1	19	21	632	292
481	1	15	1	19	21	970.81	292
481	1	30	1	19	21	1215.44	292
481	1	0	1	3	22	399.6	290.5
481	1	15	1	3	22	597.26	290.5
481	1	30	1	3	22	727.35	290.5
481	1	0	1	24	23	407.56	289.6
481	1	15	1	24	23	627.43	289.6
481	1	30	1	24	23	691.67	289.6
481	1	0	1	27	24	397.12	290.5
481	1	15	1	27	24	493.21	290.5
481	1	30	1	27	24	543.43	290.5
481	1	0	1	4	25	409.31	290.5
481	1	15	1	4	25	647.59	290.5
481	1	30	1	4	25	775.93	290.5
481	1	0	1	12	26	605.78	290.5
481	1	15	1	12	26	786.35	290.5
481	1	30	1	12	26	910.71	290.5
481	1	0	1	13	27	627	290.5
481	1	15	1	13	27	695.36	290.5
481	1	30	1	13	27	1096.51	290.5
481	1	0	1	25	28	406.26	290.5
481	1	15	1	25	28	598.32	290.5
481	1	30	1	25	28	665.57	290.5
481	1	0	1	28	29	414.67	289.6
481	1	15	1	28	29	473.99	289.6
481	1	30	1	28	29	485.78	289.6
481	1	0	1	9	30	405.42	292
481	1	15	1	9	30	688.58	292
481	1	30	1	9	30	927.78	292
486	2	0	1	6	31	409.74	292.7
486	2	15	1	6	31	973.54	292.7
486	2	30	1	6	31	1379.86	292.7
486	2	0	1	18	32	410.84	294.7
486	2	15	1	18	32	783.2	294.7
486	2	30	1	18	32	908.78	294.7
486	2	0	1	14	33	1319.63	293.2
486	2	15	1	14	33	2307.43	293.2
486	2	30	1	14	33	2330.1	293.2
486	2	0	1	10	34	395.55	294.7
486	2	15	1	10	34	921.09	294.7
486	2	30	1	10	34	1092.89	294.7
486	2	0	1	29	35	392.45	293.2
486	2	15	1	29	35	901.55	293.2
486	2	30	1	29	35	1203.05	293.2
486	2	0	1	30	36	396.19	293.2
486	2	15	1	30	36	757.68	293.2
486	2	30	1	30	36	959.82	293.2
486	2	0	1	15	37	794.47	291.2
486	2	15	1	15	37	1103.86	291.2
486	2	30	1	15	37	1218.99	291.2
486	2	0	1	5	38	406.68	291.2
486	2	15	1	5	38	736.84	291.2
486	2	30	1	5	38	876.24	291.2
486	2	0	1	20	39	518.35	292.7
486	2	15	1	20	39	877.27	292.7
486	2	30	1	20	39	1060.33	292.7
486	2	0	1	21	40	409.74	293.2
486	2	15	1	21	40	860.92	293.2
486	2	30	1	21	40	1235.29	293.2
486	2	0	1	11	41	638.35	291.2
486	2	15	1	11	41	867.21	291.2
486	2	30	1	11	41	945.39	291.2
486	2	0	1	1	42	399.5	291.2
486	2	15	1	1	42	664.15	291.2
486	2	30	1	1	42	789.3	291.2
486	2	0	1	7	43	405.49	292.7
486	2	15	1	7	43	776.75	292.7
486	2	30	1	7	43	957.63	292.7
486	2	0	1	2	44	407.95	293.2
486	2	15	1	2	44	702.25	293.2
486	2	30	1	2	44	729.07	293.2
486	2	0	1	22	45	404.84	293.2
486	2	15	1	22	45	924.91	293.2
486	2	30	1	22	45	1274.23	293.2
486	2	0	1	23	46	414.33	293.2
486	2	15	1	23	46	960.89	293.2
486	2	30	1	23	46	1281.64	293.2
486	2	0	1	26	47	401.2	293.2
486	2	15	1	26	47	969.63	293.2
486	2	30	1	26	47	1296.41	293.2
486	2	0	1	16	48	539.83	292.7
486	2	15	1	16	48	1111.79	292.7
486	2	30	1	16	48	1330.18	292.7
486	2	0	1	17	49	499.46	291
486	2	15	1	17	49	766.49	291
486	2	30	1	17	49	797.66	291
486	2	0	1	8	50	402.01	291
486	2	15	1	8	50	683.33	291
486	2	30	1	8	50	681.76	291
486	2	0	1	19	51	579.6	291
486	2	15	1	19	51	990.62	291
486	2	30	1	19	51	996.98	291
486	2	0	1	3	52	395.33	289.5
486	2	15	1	3	52	636.2	289.5
486	2	30	1	3	52	656.36	289.5
486	2	0	1	24	53	389.74	291.2
486	2	15	1	24	53	709.91	291.2
486	2	30	1	24	53	821.55	291.2
486	2	0	1	27	54	393.14	289.5
486	2	15	1	27	54	618.03	289.5
486	2	30	1	27	54	644.6	289.5
486	2	0	1	4	55	415.17	289.5
486	2	15	1	4	55	821.45	289.5
486	2	30	1	4	55	1058.3	289.5
486	2	0	1	12	56	407.58	289.5
486	2	15	1	12	56	914.32	289.5
486	2	30	1	12	56	1110.76	289.5
486	2	0	1	13	57	563.84	289.5
486	2	15	1	13	57	900.04	289.5
486	2	30	1	13	57	1029.58	289.5
486	2	0	1	25	58	398.02	289.5
486	2	15	1	25	58	698.73	289.5
486	2	30	1	25	58	847.85	289.5
486	2	0	1	28	59	397.15	291.2
486	2	15	1	28	59	693.87	291.2
486	2	30	1	28	59	794.47	291.2
486	2	0	1	9	60	409.96	291
486	2	15	1	9	60	766.88	291
486	2	30	1	9	60	873.31	291
492	3	0	1	6	61	411.55	292.6
492	3	15	1	6	61	864.66	292.6
492	3	30	1	6	61	998.07	292.6
492	3	0	1	18	62	414.95	295.4
492	3	15	1	18	62	1008.69	295.4
492	3	30	1	18	62	1356.94	295.4
492	3	0	1	14	63	496.78	293.9
492	3	15	1	14	63	940.18	293.9
492	3	30	1	14	63	1216.11	293.9
492	3	0	1	10	64	406.02	295.4
492	3	15	1	10	64	1104.02	295.4
492	3	30	1	10	64	1395.89	295.4
492	3	0	1	29	65	408.86	293.9
492	3	15	1	29	65	1201.81	293.9
492	3	30	1	29	65	1524.52	293.9
492	3	0	1	30	66	404.15	293.9
492	3	15	1	30	66	878.77	293.9
492	3	30	1	30	66	1042.75	293.9
492	3	0	1	15	67	500.43	291.1
492	3	15	1	15	67	782.4	291.1
492	3	30	1	15	67	781.31	291.1
492	3	0	1	5	68	410.41	291.1
492	3	15	1	5	68	673.77	291.1
492	3	30	1	5	68	756.36	291.1
492	3	0	1	20	69	795.86	292.6
492	3	15	1	20	69	1124.18	292.6
492	3	30	1	20	69	1393.61	292.6
492	3	0	1	21	70	427.68	293.9
492	3	15	1	21	70	1152.12	293.9
492	3	30	1	21	70	1660	293.9
492	3	0	1	11	71	647.46	291.1
492	3	15	1	11	71	781	291.1
492	3	30	1	11	71	800.18	291.1
492	3	0	1	1	72	419.32	291.1
492	3	15	1	1	72	779.88	291.1
492	3	30	1	1	72	789.43	291.1
492	3	0	1	7	73	408.2	292.6
492	3	15	1	7	73	859.69	292.6
492	3	30	1	7	73	1158.51	292.6
492	3	0	1	2	74	425.18	293.9
492	3	15	1	2	74	1059.09	293.9
492	3	30	1	2	74	1405.06	293.9
492	3	0	1	22	75	427.14	293.9
492	3	15	1	22	75	1262.58	293.9
492	3	30	1	22	75	1741.52	293.9
492	3	0	1	23	76	432.18	293.9
492	3	15	1	23	76	1274.53	293.9
492	3	30	1	23	76	1654.01	293.9
492	3	0	1	16	77	685.39	292.6
492	3	15	1	16	77	972.89	292.6
492	3	30	1	16	77	1037.42	292.6
492	3	0	1	17	78	603.34	290.8
492	3	15	1	17	78	902.43	290.8
492	3	30	1	17	78	953.62	290.8
492	3	0	1	8	79	401.58	290.8
492	3	15	1	8	79	537.8	290.8
492	3	30	1	8	79	557.83	290.8
492	3	0	1	19	80	403.53	290.8
492	3	15	1	19	80	727.45	290.8
492	3	30	1	19	80	909.73	290.8
492	3	0	1	3	81	398.64	289.3
492	3	15	1	3	81	396.21	289.3
492	3	30	1	3	81	763.43	289.3
492	3	0	1	24	82	403.71	291.1
492	3	15	1	24	82	700.6	291.1
492	3	30	1	24	82	736.34	291.1
492	3	0	1	27	83	397.94	289.3
492	3	15	1	27	83	508.79	289.3
492	3	30	1	27	83	558.33	289.3
492	3	0	1	4	84	407.79	289.3
492	3	15	1	4	84	674.85	289.3
492	3	30	1	4	84	848.82	289.3
492	3	0	1	12	85	524.28	289.3
492	3	15	1	12	85	779.85	289.3
492	3	30	1	12	85	939.92	289.3
492	3	0	1	13	86	404.05	289.3
492	3	15	1	13	86	759.93	289.3
492	3	30	1	13	86	956.65	289.3
492	3	0	1	25	87	400.25	289.3
492	3	15	1	25	87	650.01	289.3
492	3	30	1	25	87	800.01	289.3
492	3	0	1	28	88	408.63	291.1
492	3	15	1	28	88	658.85	291.1
492	3	30	1	28	88	686.67	291.1
492	3	0	1	9	89	411.67	290.8
492	3	15	1	9	89	745.46	290.8
492	3	30	1	9	89	997.53	290.8
500	4	0	1	6	90	404.58	287.1
500	4	15	1	6	90	871.58	287.1
500	4	30	1	6	90	1177.31	287.1
500	4	45	1	6	90	1408.77	287.1
500	4	0	1	18	91	426.08	289.4
500	4	15	1	18	91	851.81	289.4
500	4	30	1	18	91	1077.15	289.4
500	4	45	1	18	91	1318.46	289.4
500	4	0	1	14	92	417.69	287.9
500	4	15	1	14	92	1028.52	287.9
500	4	30	1	14	92	1284.37	287.9
500	4	45	1	14	92	1460.16	287.9
500	4	0	1	10	93	404.42	289.4
500	4	15	1	10	93	965.42	289.4
500	4	30	1	10	93	1482.2	289.4
500	4	45	1	10	93	1844.96	289.4
500	4	0	1	29	94	407.74	287.9
500	4	15	1	29	94	1048.7	287.9
500	4	30	1	29	94	1381.84	287.9
500	4	45	1	29	94	1752.07	287.9
500	4	0	1	30	95	400.56	287.9
500	4	15	1	30	95	786.07	287.9
500	4	30	1	30	95	1012.57	287.9
500	4	45	1	30	95	1312.53	287.9
500	4	0	1	15	96	734.91	285.6
500	4	15	1	15	96	1008.08	285.6
500	4	30	1	15	96	1364	285.6
500	4	45	1	15	96	1502.19	285.6
500	4	0	1	5	97	477.81	285.6
500	4	15	1	5	97	776.6	285.6
500	4	30	1	5	97	979.59	285.6
500	4	45	1	5	97	1208.24	285.6
500	4	0	1	20	98	487.7	287.1
500	4	15	1	20	98	995.29	287.1
500	4	30	1	20	98	1164.98	287.1
500	4	45	1	20	98	1347.21	287.1
500	4	0	1	21	99	401.07	287.9
500	4	15	1	21	99	890.38	287.9
500	4	30	1	21	99	1200.18	287.9
500	4	45	1	21	99	1500.14	287.9
500	4	0	1	11	100	401.17	285.6
500	4	15	1	11	100	655.97	285.6
500	4	30	1	11	100	705.23	285.6
500	4	45	1	11	100	1031.3	285.6
500	4	0	1	1	101	388.63	285.6
500	4	15	1	1	101	755.2	285.6
500	4	30	1	1	101	923.26	285.6
500	4	45	1	1	101	958.27	285.6
500	4	0	1	7	102	395.02	287.1
500	4	15	1	7	102	785.39	287.1
500	4	30	1	7	102	1036.02	287.1
500	4	45	1	7	102	1240.77	287.1
500	4	0	1	2	103	387.43	287.9
500	4	15	1	2	103	711.76	287.9
500	4	30	1	2	103	866.48	287.9
500	4	45	1	2	103	1056.5	287.9
500	4	0	1	22	104	389.86	287.9
500	4	15	1	22	104	823.09	287.9
500	4	30	1	22	104	1021.15	287.9
500	4	45	1	22	104	1138.82	287.9
500	4	0	1	23	105	387.59	287.9
500	4	15	1	23	105	818.36	287.9
500	4	30	1	23	105	1107.92	287.9
500	4	45	1	23	105	1315.61	287.9
500	4	0	1	26	106	397.78	287.9
500	4	15	1	26	106	920.2	287.9
500	4	30	1	26	106	1268.49	287.9
500	4	45	1	26	106	1624.04	287.9
500	4	0	1	16	107	406.45	287.1
500	4	15	1	16	107	1415.62	287.1
500	4	30	1	16	107	1526.42	287.1
500	4	45	1	16	107	1694.91	287.1
500	4	0	1	17	108	645.76	288
500	4	15	1	17	108	1109.25	288
500	4	30	1	17	108	1490.99	288
500	4	45	1	17	108	1617.75	288
500	4	0	1	8	109	413.21	288
500	4	15	1	8	109	770.44	288
500	4	30	1	8	109	982.58	288
500	4	45	1	8	109	1116.03	288
500	4	0	1	19	110	772.29	288
500	4	15	1	19	110	1519.75	288
500	4	30	1	19	110	1902.41	288
500	4	45	1	19	110	2213.85	288
500	4	0	1	3	111	398.46	286.5
500	4	15	1	3	111	749.87	286.5
500	4	30	1	3	111	934.38	286.5
500	4	45	1	3	111	1132.16	286.5
500	4	0	1	24	112	399.66	285.6
500	4	15	1	24	112	711.08	285.6
500	4	30	1	24	112	877.91	285.6
500	4	45	1	24	112	1025.1	285.6
500	4	0	1	27	113	400.27	286.5
500	4	15	1	27	113	755.72	286.5
500	4	30	1	27	113	897.37	286.5
500	4	45	1	27	113	1020.36	286.5
500	4	0	1	4	114	420.19	286.5
500	4	15	1	4	114	861.52	286.5
500	4	30	1	4	114	1157.32	286.5
500	4	45	1	4	114	1299.91	286.5
500	4	0	1	12	115	571.73	286.5
500	4	15	1	12	115	1132	286.5
500	4	30	1	12	115	1441.65	286.5
500	4	45	1	12	115	1655.2	286.5
500	4	0	1	13	116	452.42	286.5
500	4	15	1	13	116	918.3	286.5
500	4	30	1	13	116	1181.2	286.5
500	4	45	1	13	116	1407.05	286.5
500	4	0	1	25	117	401.41	286.5
500	4	15	1	25	117	708.91	286.5
500	4	30	1	25	117	906.32	286.5
500	4	45	1	25	117	1080.46	286.5
500	4	0	1	28	118	386.54	285.6
500	4	15	1	28	118	615.42	285.6
500	4	30	1	28	118	661.8	285.6
500	4	45	1	28	118	683.99	285.6
500	4	0	1	9	119	408.96	288
500	4	15	1	9	119	860.74	288
500	4	30	1	9	119	1138.46	288
500	4	45	1	9	119	1324.25	288
506	5	0	1	6	120	401.56	299.2
506	5	15	1	6	120	838.15	299.2
506	5	30	1	6	120	1283.55	299.2
506	5	45	1	6	120	1576.23	299.2
506	5	0	1	18	121	446.57	296.1
506	5	15	1	18	121	867.36	296.1
506	5	30	1	18	121	1067.76	296.1
506	5	45	1	18	121	1327.71	296.1
506	5	0	1	14	122	462.75	294.6
506	5	15	1	14	122	1007.72	294.6
506	5	30	1	14	122	1213.53	294.6
506	5	45	1	14	122	1416.04	294.6
506	5	0	1	10	123	393.88	296.1
506	5	15	1	10	123	1050.65	296.1
506	5	30	1	10	123	1307.13	296.1
506	5	45	1	10	123	1591.28	296.1
506	5	0	1	29	124	400.39	294.6
506	5	15	1	29	124	1132.26	294.6
506	5	30	1	29	124	1525.84	294.6
506	5	45	1	29	124	2017.43	294.6
506	5	0	1	30	125	400.02	294.6
506	5	15	1	30	125	844.74	294.6
506	5	30	1	30	125	1041.19	294.6
506	5	45	1	30	125	1280.66	294.6
506	5	0	1	15	126	546.17	297.7
506	5	15	1	15	126	1225.1	297.7
506	5	30	1	15	126	384.13	297.7
506	5	45	1	15	126	1885.07	297.7
506	5	0	1	5	127	396.2	297.7
506	5	15	1	5	127	884.42	297.7
506	5	30	1	5	127	1140.31	297.7
506	5	45	1	5	127	1511.3	297.7
506	5	0	1	20	128	537.95	299.2
506	5	15	1	20	128	1058.25	299.2
506	5	30	1	20	128	1368.92	299.2
506	5	45	1	20	128	925.26	299.2
506	5	0	1	21	129	384.47	294.6
506	5	15	1	21	129	968.41	294.6
506	5	30	1	21	129	1325.35	294.6
506	5	45	1	21	129	1505.95	294.6
506	5	0	1	11	130	398.68	297.7
506	5	15	1	11	130	783.05	297.7
506	5	30	1	11	130	1065.74	297.7
506	5	45	1	11	130	1388.69	297.7
506	5	0	1	1	131	387.37	297.7
506	5	15	1	1	131	927.61	297.7
506	5	30	1	1	131	953.12	297.7
506	5	45	1	1	131	1632.02	297.7
506	5	0	1	7	132	397.92	299.2
506	5	15	1	7	132	941.66	299.2
506	5	30	1	7	132	1299.09	299.2
506	5	45	1	7	132	1583.06	299.2
506	5	0	1	2	133	386.21	294.6
506	5	15	1	2	133	911.33	294.6
506	5	30	1	2	133	1154.69	294.6
506	5	45	1	2	133	1304.15	294.6
506	5	0	1	22	134	383.89	294.6
506	5	15	1	22	134	931.34	294.6
506	5	30	1	22	134	1161.14	294.6
506	5	45	1	22	134	1454.97	294.6
506	5	0	1	23	135	381.5	294.6
506	5	15	1	23	135	895.67	294.6
506	5	30	1	23	135	1038.6	294.6
506	5	45	1	23	135	1311.92	294.6
506	5	0	1	26	136	378.56	294.6
506	5	15	1	26	136	881.47	294.6
506	5	30	1	26	136	860.96	294.6
506	5	45	1	26	136	1212.01	294.6
506	5	0	1	16	137	628.22	299.2
506	5	15	1	16	137	1427.73	299.2
506	5	30	1	16	137	1897.72	299.2
506	5	45	1	16	137	2264.69	299.2
506	5	0	1	17	138	584.82	297
506	5	15	1	17	138	1059.63	297
506	5	30	1	17	138	1421	297
506	5	45	1	17	138	1586.22	297
506	5	0	1	8	139	380.75	297
506	5	15	1	8	139	699.29	297
506	5	30	1	8	139	925.6	297
506	5	45	1	8	139	1045.76	297
506	5	0	1	19	140	1309.09	297
506	5	15	1	19	140	1556.16	297
506	5	30	1	19	140	1904.79	297
506	5	45	1	19	140	1988.2	297
506	5	0	1	3	141	383.87	295.5
506	5	15	1	3	141	722.76	295.5
506	5	30	1	3	141	899.3	295.5
506	5	45	1	3	141	1015.72	295.5
506	5	0	1	24	142	395.08	297.7
506	5	15	1	24	142	890.82	297.7
506	5	30	1	24	142	1099.11	297.7
506	5	45	1	24	142	1262.21	297.7
506	5	0	1	27	143	382.56	295.5
506	5	15	1	27	143	729.06	295.5
506	5	30	1	27	143	940.37	295.5
506	5	45	1	27	143	1041.85	295.5
506	5	0	1	4	144	404.25	295.5
506	5	15	1	4	144	809.52	295.5
506	5	30	1	4	144	1118.94	295.5
506	5	45	1	4	144	1327.09	295.5
506	5	0	1	12	145	511.97	295.5
506	5	15	1	12	145	1039.5	295.5
506	5	30	1	12	145	1387.04	295.5
506	5	45	1	12	145	1558.97	295.5
506	5	0	1	13	146	436.79	295.5
506	5	15	1	13	146	860.31	295.5
506	5	30	1	13	146	1153.1	295.5
506	5	45	1	13	146	1352.66	295.5
506	5	0	1	25	147	412.86	295.5
506	5	15	1	25	147	755.39	295.5
506	5	30	1	25	147	926.86	295.5
506	5	45	1	25	147	1070.35	295.5
506	5	0	1	28	148	406.14	297.7
506	5	15	1	28	148	489.5	297.7
506	5	30	1	28	148	781.41	297.7
506	5	45	1	28	148	903.53	297.7
506	5	0	1	9	149	411.39	297
506	5	15	1	9	149	903.92	297
506	5	30	1	9	149	1192	297
506	5	45	1	9	149	1419.24	297
514	6	0	1	6	150	416.31	287.9
514	6	15	1	6	150	918.71	287.9
514	6	30	1	6	150	1121.41	287.9
514	6	45	1	6	150	1235.23	287.9
514	6	0	1	18	151	548.53	282.2
514	6	15	1	18	151	949.61	282.2
514	6	30	1	18	151	682.46	282.2
514	6	45	1	18	151	1274.36	282.2
514	6	0	1	14	152	508.74	280.7
514	6	15	1	14	152	773.99	280.7
514	6	30	1	14	152	926.87	280.7
514	6	45	1	14	152	1025.23	280.7
514	6	0	1	10	153	390.47	282.2
514	6	15	1	10	153	699.62	282.2
514	6	30	1	10	153	884.27	282.2
514	6	45	1	10	153	1061.8	282.2
514	6	0	1	29	154	393.1	280.7
514	6	15	1	29	154	806.09	280.7
514	6	30	1	29	154	1094.75	280.7
514	6	45	1	29	154	1320.33	280.7
514	6	0	1	30	155	388.29	280.7
514	6	15	1	30	155	729.72	280.7
514	6	30	1	30	155	974.67	280.7
514	6	45	1	30	155	1136.51	280.7
514	6	0	1	15	156	568.85	286.4
514	6	15	1	15	156	960.02	286.4
514	6	30	1	15	156	1064.66	286.4
514	6	45	1	15	156	1150.92	286.4
514	6	0	1	5	157	415.79	286.4
514	6	15	1	5	157	764.72	286.4
514	6	30	1	5	157	942.33	286.4
514	6	45	1	5	157	1019.65	286.4
514	6	0	1	20	158	852.15	287.9
514	6	15	1	20	158	1219.52	287.9
514	6	30	1	20	158	1463.73	287.9
514	6	45	1	20	158	1601.88	287.9
514	6	0	1	21	159	403.28	280.7
514	6	15	1	21	159	646.68	280.7
514	6	30	1	21	159	759.88	280.7
514	6	45	1	21	159	860.38	280.7
514	6	0	1	11	160	505.14	286.4
514	6	15	1	11	160	875.88	286.4
514	6	30	1	11	160	992.4	286.4
514	6	45	1	11	160	1080.3	286.4
514	6	0	1	1	161	421.24	286.4
514	6	15	1	1	161	675.45	286.4
514	6	30	1	1	161	748.96	286.4
514	6	45	1	1	161	778.36	286.4
514	6	0	1	7	162	392.33	287.9
514	6	15	1	7	162	804.14	287.9
514	6	30	1	7	162	989.54	287.9
514	6	45	1	7	162	1097.71	287.9
514	6	0	1	2	163	393.06	280.7
514	6	15	1	2	163	652.15	280.7
514	6	30	1	2	163	684.7	280.7
514	6	45	1	2	163	1041.87	280.7
514	6	0	1	22	164	390.98	280.7
514	6	15	1	22	164	599.46	280.7
514	6	30	1	22	164	708.77	280.7
514	6	45	1	22	164	879.73	280.7
514	6	0	1	23	165	389.52	280.7
514	6	15	1	23	165	621.67	280.7
514	6	30	1	23	165	729.75	280.7
514	6	45	1	23	165	836.72	280.7
514	6	0	1	26	166	392.46	280.7
514	6	15	1	26	166	652.9	280.7
514	6	30	1	26	166	792.2	280.7
514	6	45	1	26	166	953.96	280.7
514	6	0	1	16	167	460.3	287.9
514	6	15	1	16	167	1001.14	287.9
514	6	30	1	16	167	1168.84	287.9
514	6	45	1	16	167	1257.84	287.9
514	6	0	1	17	168	623.5	285.9
514	6	15	1	17	168	1027.88	285.9
514	6	30	1	17	168	1158.7	285.9
514	6	45	1	17	168	1237.55	285.9
514	6	0	1	8	169	388.46	285.9
514	6	15	1	8	169	676.62	285.9
514	6	30	1	8	169	879.5	285.9
514	6	45	1	8	169	1019.53	285.9
514	6	0	1	19	170	457.6	285.9
514	6	15	1	19	170	799.45	285.9
514	6	30	1	19	170	1019.04	285.9
514	6	45	1	19	170	1148.83	285.9
514	6	0	1	3	171	387.41	284.4
514	6	15	1	3	171	569.27	284.4
514	6	30	1	3	171	630.59	284.4
514	6	45	1	3	171	641.04	284.4
514	6	0	1	24	172	413.02	286.4
514	6	15	1	24	172	777.09	286.4
514	6	30	1	24	172	882.86	286.4
514	6	45	1	24	172	940.03	286.4
514	6	0	1	27	173	385.74	284.4
514	6	15	1	27	173	611.34	284.4
514	6	30	1	27	173	667.13	284.4
514	6	45	1	27	173	477.95	284.4
514	6	0	1	4	174	389.05	284.4
514	6	15	1	4	174	741.73	284.4
514	6	30	1	4	174	942.38	284.4
514	6	45	1	4	174	1086.93	284.4
514	6	0	1	12	175	574.21	284.4
514	6	15	1	12	175	1015.84	284.4
514	6	30	1	12	175	1305.27	284.4
514	6	45	1	12	175	1430.43	284.4
514	6	0	1	13	176	779.33	284.4
514	6	15	1	13	176	1126.95	284.4
514	6	30	1	13	176	1307.3	284.4
514	6	45	1	13	176	1415.33	284.4
514	6	0	1	25	177	382.75	284.4
514	6	15	1	25	177	631.43	284.4
514	6	30	1	25	177	754.75	284.4
514	6	45	1	25	177	810.47	284.4
514	6	0	1	28	178	395.35	286.4
514	6	15	1	28	178	728.28	286.4
514	6	30	1	28	178	829.06	286.4
514	6	45	1	28	178	868.78	286.4
514	6	0	1	9	179	389.57	285.9
514	6	15	1	9	179	738.25	285.9
514	6	30	1	9	179	951.99	285.9
514	6	45	1	9	179	1135.96	285.9
521	7	0	1	6	180	403.81	297.7
521	7	15	1	6	180	835.8	297.7
521	7	30	1	6	180	1051.06	297.7
521	7	45	1	6	180	1211.01	297.7
521	7	0	1	18	181	472.84	299.2
521	7	15	1	18	181	923.79	299.2
521	7	30	1	18	181	1108.85	299.2
521	7	45	1	18	181	1329.05	299.2
521	7	0	1	14	182	616.3	297.7
521	7	15	1	14	182	1133.38	297.7
521	7	30	1	14	182	1351.78	297.7
521	7	45	1	14	182	1734.54	297.7
521	7	0	1	10	183	405.53	299.2
521	7	15	1	10	183	827.71	299.2
521	7	30	1	10	183	1002.83	299.2
521	7	45	1	10	183	1238.52	299.2
521	7	0	1	29	184	405.89	297.7
521	7	15	1	29	184	1004.59	297.7
521	7	30	1	29	184	1287.05	297.7
521	7	45	1	29	184	1674.57	297.7
521	7	0	1	30	185	411.56	297.7
521	7	15	1	30	185	981.68	297.7
521	7	30	1	30	185	547.08	297.7
521	7	45	1	30	185	627.19	297.7
521	7	0	1	15	186	729.13	296.2
521	7	15	1	15	186	1537.67	296.2
521	7	30	1	15	186	1855.9	296.2
521	7	45	1	15	186	2049.58	296.2
521	7	0	1	5	187	411.6	296.2
521	7	15	1	5	187	896.82	296.2
521	7	30	1	5	187	1195.47	296.2
521	7	45	1	5	187	1351.64	296.2
521	7	0	1	20	188	491.58	297.7
521	7	15	1	20	188	975.4	297.7
521	7	45	1	20	188	1581.91	297.7
521	7	0	1	21	189	390.03	297.7
521	7	15	1	21	189	849.43	297.7
521	7	30	1	21	189	1005.9	297.7
521	7	45	1	21	189	1180.79	297.7
521	7	0	1	11	190	545.37	296.2
521	7	15	1	11	190	894.26	296.2
521	7	30	1	11	190	1029.35	296.2
521	7	45	1	11	190	1061.14	296.2
521	7	0	1	1	191	388.27	296.2
521	7	30	1	1	191	715.71	296.2
521	7	45	1	1	191	773.57	296.2
521	7	0	1	7	192	382.57	297.7
521	7	15	1	7	192	780.37	297.7
521	7	30	1	7	192	943.48	297.7
521	7	45	1	7	192	1106.65	297.7
521	7	0	1	2	193	390.29	297.7
521	7	15	1	2	193	642.19	297.7
521	7	30	1	2	193	620.23	297.7
521	7	45	1	2	193	800.56	297.7
521	7	0	1	22	194	391.67	297.7
521	7	15	1	22	194	816.47	297.7
521	7	30	1	22	194	1093.18	297.7
521	7	45	1	22	194	1251.54	297.7
521	7	0	1	23	195	390.08	297.7
521	7	15	1	23	195	863.69	297.7
521	7	30	1	23	195	813.97	297.7
521	7	45	1	23	195	1210.53	297.7
521	7	0	1	26	196	393.15	297.7
